"label","x_micrometer","y_micrometer","z_micrometer","len_x_micrometer","len_y_micrometer","len_z_micrometer","t_second","len_t_second"
1,45.6,51.6,0,9,6.4,1,0,1
2,27.400000000000002,0,0,13.200000000000001,6.4,1,0,1
3,55,60.6,0,6,6,1,0,1
5,83.4,48,0,5.2,6.4,1,0,1
14,51.2,33.6,0,5.4,8.6,1,0,1
20,6.800000000000001,39.400000000000006,0,7.6000000000000005,4.2,1,0,1
27,107,59.800000000000004,0,6.6000000000000005,4.6000000000000005,1,0,1
28,25,58.6,0,4.800000000000001,6,1,0,1
33,48.6,18.6,0,10.4,7.2,1,0,1
35,39.6,35.800000000000004,0,7.800000000000001,6.6000000000000005,1,0,1
36,89.4,45,0,7.6000000000000005,4,1,0,1
42,72.2,41.2,0,8.200000000000001,6.2,1,0,1
81,2.6,14,0,5.6000000000000005,8.4,1,0,1
105,9.4,25.8,0,11.200000000000001,6,1,0,1
4,78.2,81,0,5.6000000000000005,7,1,0,1
7,24,113.80000000000001,0,5,7.6000000000000005,1,0,1
8,88.80000000000001,65,0,6.800000000000001,6,1,0,1
22,27.6,105.60000000000001,0,5.2,7,1,0,1
46,55.6,82.4,0,5,7.6000000000000005,1,0,1
108,102,78.80000000000001,0,5.800000000000001,7.800000000000001,1,0,1
